gbifID,identifier,license,modified,type,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,disposition,samplingProtocol,fieldNotes,higherGeography,continent,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,nomenclaturalCode,datasetKey,publishingCountry,lastInterpreted,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,species,genericName,protocol,lastParsed,lastCrawled,repatriated
574760021,http://data.rbge.org.uk/living/19821103,CC_BY_NC_4_0,1999-05-07T02:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19821103,19821103,dead,collected directly from the wild,,,,PG,Southern Highlands Prov.,,Lake Kopiago,,,,Paphiopedilum glanduliferum (Blume) Stein,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphiopedilum,glanduliferum,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,2825180,6,7707728,196,1169,7689,2825152,2825180,Paphiopedilum glanduliferum,Paphiopedilum,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:03Z,FALSE
574759993,http://data.rbge.org.uk/living/19882745,CC_BY_NC_4_0,2011-04-08T02:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19882745,19882745,dead,collected directly from the wild,Well vegatated coastal rocks,,,CL,Región X [Los Lagos],Prov. de Valdivia,Coast of Puerto Hueicolla,,-40.166667,-73.75,Brachystele unilateralis Schltr.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brachystele,unilateralis,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,GEODETIC_DATUM_ASSUMED_WGS84,,TRUE,FALSE,2841010,6,7707728,196,1169,7689,2840961,2841010,Brachystele unilateralis,Brachystele,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:03Z,FALSE
574759981,http://data.rbge.org.uk/living/19812256,CC_BY_NC_4_0,1999-01-14T01:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19812256,19812256,dead,from a cultivated plant not of known wild origin,,,,ID,Celebes,,,,,,Bulbophyllum echinolabium J.J.Sm.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bulbophyllum,echinolabium,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,2843287,6,7707728,196,1169,7689,2842726,2843287,Bulbophyllum echinolabium,Bulbophyllum,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:03Z,FALSE
574759956,http://data.rbge.org.uk/living/20041353,CC_BY_NC_4_0,2015-01-21T01:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/20041353,20041353,dead,collected directly from the wild,,,,PG,,,Woitape,,-8.616667,147.233333,Trichotosia Blume,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichotosia,,,GENUS,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,GEODETIC_DATUM_ASSUMED_WGS84,,TRUE,FALSE,2789344,6,7707728,196,1169,7689,2789344,,,Trichotosia,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:05Z,FALSE
574759513,http://data.rbge.org.uk/living/20041058,CC_BY_NC_4_0,2017-08-05T02:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/20041058,20041058,alive,collected directly from the wild,"Tropical lowland rainforest, moderately open canopy. Thin organic-rich layer over deeply weathered limestone bedrock  ",New Guinea,,PG,,,"Gulf Province, Darai site, Darai Plateau",,-7.129258,143.611569,Bulbophyllum,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bulbophyllum,,,GENUS,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,PRESUMED_NEGATED_LATITUDE;GEODETIC_DATUM_ASSUMED_WGS84,,TRUE,FALSE,2842726,6,7707728,196,1169,7689,2842726,,,Bulbophyllum,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:05Z,FALSE
574759430,http://data.rbge.org.uk/living/18960068,CC_BY_NC_4_0,1999-05-07T02:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/18960068,18960068,dead,from a cultivated plant of known (indirect) wild origin,,,,,,,,,,,Masdevallia expansa Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Masdevallia,expansa,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,2848417,6,7707728,196,1169,7689,2847989,2848414,Masdevallia caudata,Masdevallia,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:02Z,
574759405,http://data.rbge.org.uk/living/19773537,CC_BY_NC_4_0,1999-01-14T01:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19773537,19773537,dead,collected directly from the wild,Limestone hill,,,MY,Sarawak,,Hill by Sungai Pala,,,,Liparis gibbosa Finet,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stichorkis,gibbosa,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,5323328,6,7707728,196,1169,7689,2784614,8271793,Stichorkis gibbosa,Liparis,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:03Z,FALSE
574759392,http://data.rbge.org.uk/living/19933900,CC_BY_NC_4_0,,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19933900,19933900,dead,collected directly from the wild,,,,MG,,,,,,,Oeonia oncidiiflora Kraenzl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,oncidiiflora,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,2842172,6,7707728,196,1169,7689,2842152,2842170,Oeonia rosea,Oeonia,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:04Z,FALSE
574759355,http://data.rbge.org.uk/living/19680684,CC_BY_NC_4_0,2002-02-15T01:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19680684,19680684,dead,collected directly from the wild,,,,MY,Perak,,"Gunong Jascar, W of Tanah Rata",,,,Eria scortechinii Hook.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochiopsis,scortechinii,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,8218531,6,7707728,196,1169,7689,2830271,2830272,Dilochiopsis scortechinii,Eria,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:03Z,FALSE
574759255,http://data.rbge.org.uk/living/19891351,CC_BY_NC_4_0,2009-08-17T02:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19891351,19891351,dead,collected directly from the wild,,,,GB,Scotland,Ayrshire,S of Bennane Head; Grid Ref. 15/104 878,,,,Orchis morio L.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,morio,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,2808566,6,7707728,196,1169,7689,2808313,2808565,Anacamptis morio,Orchis,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:03Z,TRUE
574759206,http://data.rbge.org.uk/living/19701553,CC_BY_NC_4_0,2011-02-04T01:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19701553,19701553,dead,collected directly from the wild,,,,MX,,,,,,,Maxillaria variabilis var. unipunctata Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,variabilis,unipunctata,VARIETY,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,5318551,6,7707728,196,1169,7689,2825779,5318544,Maxillaria variabilis,Maxillaria,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:03Z,FALSE
574759169,http://data.rbge.org.uk/living/19672314,CC_BY_NC_4_0,2011-01-26T01:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19672314,19672314,dead,collected directly from the wild,,,,MY,"Sabah, SW",,Long Pasia,,,,Bulbophyllum disjunctum Ames & C.Schweinf.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bulbophyllum,disjunctum,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,STILLIMAGE,FALSE,FALSE,2843749,6,7707728,196,1169,7689,2842726,2843749,Bulbophyllum disjunctum,Bulbophyllum,DWC_ARCHIVE,2018-01-27T23:50Z,2018-04-12T22:02Z,FALSE
574759163,http://data.rbge.org.uk/living/19841134,CC_BY_NC_4_0,1998-02-10T01:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19841134,19841134,dead,collected directly from the wild,,,,GB,Scotland,Midlothian,Near Balerno,,,,Dactylorhiza fuchsii (Druce) Soó,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dactylorhiza,fuchsii,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,2810677,6,7707728,196,1169,7689,2809736,2810677,Dactylorhiza fuchsii,Dactylorhiza,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:03Z,TRUE
574759119,http://data.rbge.org.uk/living/19791456,CC_BY_NC_4_0,2011-03-21T01:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19791456,19791456,dead,from a cultivated plant of known (indirect) wild origin,,,,,,,,,,,Laelia anceps Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Laelia,anceps,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,5314529,6,7707728,196,1169,7689,2819033,5314529,Laelia anceps,Laelia,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:03Z,
574759032,http://data.rbge.org.uk/living/19370426,CC_BY_NC_4_0,2017-08-05T02:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19370426,19370426,alive,from a cultivated plant of known (indirect) wild origin,,,,,,,,,,,Bulbophyllum longissimum J.J.Sm.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bulbophyllum,longissimum,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,2844068,6,7707728,196,1169,7689,2842726,2844068,Bulbophyllum longissimum,Bulbophyllum,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:02Z,
574758987,http://data.rbge.org.uk/living/19690074,CC_BY_NC_4_0,2017-08-11T02:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/19690074,19690074,dead,from a cultivated plant of known (indirect) wild origin,,,,,,,,,,,Calanthe R.Br.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calanthe,,,GENUS,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,2794881,6,7707728,196,1169,7689,2794881,,,Calanthe,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:03Z,
574758918,http://data.rbge.org.uk/living/20041173,CC_BY_NC_4_0,2016-04-18T02:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/20041173,20041173,dead,collected directly from the wild,"Tropical lowland rainforest, moderately open to closed canopy. Soil thin organic rich alluvium derived from Mt. Bosavi volcano",New Guinea,,PG,,,"Central Highlands Province. Libano site, Libano River.",,,,Dendrobium Sw.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrobium,,,GENUS,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,FALSE,FALSE,2821327,6,7707728,196,1169,7689,2821327,,,Dendrobium,DWC_ARCHIVE,2017-10-06T15:28Z,2018-04-12T22:05Z,FALSE
574758738,http://data.rbge.org.uk/living/20090810,CC_BY_NC_4_0,2017-12-28T01:00Z,PhysicalObject,http://biocol.org/urn:lsid:biocol.org:col:15670,,E,E,Royal Botanic Garden Edinburgh Living Collection,E,LIVING_SPECIMEN,http://data.rbge.org.uk/living/20090810,20090810,dead,collected directly from the wild,"young plant - height to 60cm, dark green leaves, not common Forest around village which is cultivated (coffee, sago, pometia etc) - away from village forest relatively unspoilt, steep mountain sides with slippery orange clay soil, large limestone boulders near top of mountain",New Guinea,,ID,Papua [Irian Jaya],Kosiwo,Hill ('Kapit Atusamban') behind the homestay in Ambaidiru Village,,-1.761833,136.189278,Habenaria stenopetala Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Habenaria,stenopetala,,SPECIES,ICBN,7adf20e0-c955-11de-95c0-b8a03c50a862,GB,2018-02-03T16:34Z,,,TRUE,FALSE,2829743,6,7707728,196,1169,7689,2828306,2829743,Habenaria stenopetala,Habenaria,DWC_ARCHIVE,2018-01-27T23:51Z,2018-04-12T22:05Z,FALSE
