gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
1228044213,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740200,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Benmore,98e934b0-5f31-11de-b67e-b8a03c50a862,56.024722,-4.989444,,,,,,,1827-08-07T01:00Z,7,8,1827,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740200,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228043824,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740210,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Ben Ledi,98e934b0-5f31-11de-b67e-b8a03c50a862,56.265833,-4.299444,,,,,,,1864-01-01T01:00Z,,,1864,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740210,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228043792,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740209,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Ben Ledi,98e934b0-5f31-11de-b67e-b8a03c50a862,56.265833,-4.299444,,,,,,,1871-06-19T01:00Z,19,6,1871,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740209,,,CC_BY_NC_4_0,,Evans,,,,,
1228042974,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740235,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Arran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228042548,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740277,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Lochnagar,98e934b0-5f31-11de-b67e-b8a03c50a862,56.950278,-3.266667,,,,,,,1830-01-01T01:00Z,,,1830,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740277,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228042286,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740315,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Snowdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228042107,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740330,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Ben Ledi,98e934b0-5f31-11de-b67e-b8a03c50a862,56.258056,-4.3225,,,,,,,1860-07-21T01:00Z,21,7,1860,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740330,,,CC_BY_NC_4_0,,Sadler,,,,,
1228042105,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740324,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Lachin y Gair [Lochnagar],98e934b0-5f31-11de-b67e-b8a03c50a862,56.955,-3.225,,,,,,,1831-08-01T01:00Z,1,8,1831,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740324,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228041958,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740304,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Cader Idnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228041877,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740198,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Ben Leugh [Ben Laoigh?],98e934b0-5f31-11de-b67e-b8a03c50a862,56.162778,-5.277778,,,,,,,1847-06-19T01:00Z,19,6,1847,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740198,,,CC_BY_NC_4_0,,Murchison,,,,,
