gbifid,kingdom,phylum,class,order,family,genus,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563115081,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",coccifera,,,,,,,,,,,,,,,,,,,PRESERVED_SPECIMEN,E,E,E00816123,89-1499-C,CC_BY_NC_4_0,Roy,,,,,,,,,,,,,,,,,,,,,,,
1563114907,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",cornuta,,,,,,,,,,,,,,,,,,,PRESERVED_SPECIMEN,E,E,E00816124,97-4035-C,CC_BY_NC_4_0,Roy,,,,,,,,,,,,,,,,,,,,,,,
1563114752,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",arbuscula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563114748,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",verticillata,,,,,,,,,,,,,,,,,,,1994,2607672,2607673,PRESERVED_SPECIMEN,E,E,E00816122,94-2759-C,CC_BY_NC_4_0,Roy,,,,,,,,,,,,,,,,,,,,
1563114648,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",rangiferina,,,,,,,,,,,,,,,,,,,2607708,2607708,PRESERVED_SPECIMEN,E,E,E00816143,96-3856-C,CC_BY_NC_4_0,Roy,,,,,,,,,,,,,,,,,,,,,
1563114442,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563114213,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",arbuscula,,,,,,,,,,,,,,,,,,,E,E00816163,68.212,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500366631,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500365172,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",rangiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500365081,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
