"http://data.rbge.org.uk/herb/E00423401","StillImage","image/jpeg","http://data.rbge.org.uk/images1/494152/-1","http://data.rbge.org.uk/herb/E00423401","Image of RBGE specimen with barcode E00423401","Image of RBGE specimen with barcode E00423401","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00423400","StillImage","image/jpeg","http://data.rbge.org.uk/images1/494154/-1","http://data.rbge.org.uk/herb/E00423400","Image of RBGE specimen with barcode E00423400","Image of RBGE specimen with barcode E00423400","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00429932","StillImage","image/jpeg","http://data.rbge.org.uk/images1/616112/-1","http://data.rbge.org.uk/herb/E00429932","Image of RBGE specimen with barcode E00429932","Image of RBGE specimen with barcode E00429932","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00456353","StillImage","image/jpeg","http://data.rbge.org.uk/images1/512925/-1","http://data.rbge.org.uk/herb/E00456353","Image of RBGE specimen with barcode E00456353","Image of RBGE specimen with barcode E00456353","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00465158","StillImage","image/jpeg","http://data.rbge.org.uk/images1/502061/-1","http://data.rbge.org.uk/herb/E00465158","Image of RBGE specimen with barcode E00465158","Image of RBGE specimen with barcode E00465158","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00465159","StillImage","image/jpeg","http://data.rbge.org.uk/images1/502057/-1","http://data.rbge.org.uk/herb/E00465159","Image of RBGE specimen with barcode E00465159","Image of RBGE specimen with barcode E00465159","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00456570","StillImage","image/jpeg","http://data.rbge.org.uk/images1/501809/-1","http://data.rbge.org.uk/herb/E00456570","Image of RBGE specimen with barcode E00456570","Image of RBGE specimen with barcode E00456570","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00456571","StillImage","image/jpeg","http://data.rbge.org.uk/images1/501807/-1","http://data.rbge.org.uk/herb/E00456571","Image of RBGE specimen with barcode E00456571","Image of RBGE specimen with barcode E00456571","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00456572","StillImage","image/jpeg","http://data.rbge.org.uk/images1/501830/-1","http://data.rbge.org.uk/herb/E00456572","Image of RBGE specimen with barcode E00456572","Image of RBGE specimen with barcode E00456572","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00456573","StillImage","image/jpeg","http://data.rbge.org.uk/images1/501832/-1","http://data.rbge.org.uk/herb/E00456573","Image of RBGE specimen with barcode E00456573","Image of RBGE specimen with barcode E00456573","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00456574","StillImage","image/jpeg","http://data.rbge.org.uk/images1/501855/-1","http://data.rbge.org.uk/herb/E00456574","Image of RBGE specimen with barcode E00456574","Image of RBGE specimen with barcode E00456574","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00531156","StillImage","image/jpeg","http://data.rbge.org.uk/images1/609679/-1","http://data.rbge.org.uk/herb/E00531156","Image of RBGE specimen with barcode E00531156","Image of RBGE specimen with barcode E00531156","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00531157","StillImage","image/jpeg","http://data.rbge.org.uk/images1/609677/-1","http://data.rbge.org.uk/herb/E00531157","Image of RBGE specimen with barcode E00531157","Image of RBGE specimen with barcode E00531157","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00531158","StillImage","image/jpeg","http://data.rbge.org.uk/images1/610103/-1","http://data.rbge.org.uk/herb/E00531158","Image of RBGE specimen with barcode E00531158","Image of RBGE specimen with barcode E00531158","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00531159","StillImage","image/jpeg","http://data.rbge.org.uk/images1/609675/-1","http://data.rbge.org.uk/herb/E00531159","Image of RBGE specimen with barcode E00531159","Image of RBGE specimen with barcode E00531159","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
"http://data.rbge.org.uk/herb/E00531160","StillImage","image/jpeg","http://data.rbge.org.uk/images1/609669/-1","http://data.rbge.org.uk/herb/E00531160","Image of RBGE specimen with barcode E00531160","Image of RBGE specimen with barcode E00531160","Royal Botanic Garden Edinburgh","http://creativecommons.org/licenses/by-nc/3.0/","Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use."
