gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
574775963																										http://data.rbge.org.uk/living/19682205													2000-10-10 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19682205	19682205	2698	Woods, Patrick James Blyth				not recorded							dead																		1968-07-24		206					1968-07-24		from a cultivated plant not of known wild origin				moss forest									PG		Milne Bay	Rabaraba Subdist.		Paga; Mt. Dayman area; Doana		2100	2100	2100 M																	degrees minutes seconds																																													Cleisostoma aff. schlechteri Garay												Orchidaceae	Cleisostoma		schlechteri						ICBN			
574775924																										http://data.rbge.org.uk/living/19630604													1999-10-25 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19630604	19630604		Woods, Patrick James Blyth				not recorded							dead																											collected directly from the wild													PG																										degrees minutes seconds																																													Coelogyne beccarii Rchb.f.												Orchidaceae	Coelogyne		beccarii						ICBN			
574775895																										http://data.rbge.org.uk/living/19752004													2007-07-30 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19752004	19752004		Elworthy, G C				not recorded							dead																											collected directly from the wild				Full sun.									PG		Central			Between Iongai and Murray Pass, from the Chirima Gorge and on the N slopes of Mt. Albert Edward		2134	2438	2134-2438 M																	degrees minutes seconds																																													Ceratostylis												Orchidaceae	Ceratostylis								ICBN			
574775874																										http://data.rbge.org.uk/living/19751997													2000-10-10 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19751997	19751997		Elworthy, G C				not recorded							dead																		September 1975		258					September 1975		collected directly from the wild													PG		Central			Between Iongai and Murray Pass, from the Chirima Gorge and on N slopes of Mt. Albert Edward		2438	2438	2438 M																	degrees minutes seconds																																													Dendrobium simplex J.J.Sm.												Orchidaceae	Dendrobium		simplex						ICBN			
574775846																										http://data.rbge.org.uk/living/20041115																												PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20041115	20041115	1537	Harris, Waine.K				not recorded							dead																		2003		182					2003		collected directly from the wild				Flower orange-yellow; anther lightyellow. Tropical lowland rainforest, moderately open canopy. Thin organic-rich layer over deeply weathered limestone bedrock  				New Guinea					PG					Gulf Province, Darai site, Darai Plateau		440	440	440 M								-7.129260	143.611570						7.12926° E	143.61157° E	degrees minutes seconds																																													Malaxis												Orchidaceae	Malaxis								ICBN			
574775814																										http://data.rbge.org.uk/living/20041148																												PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20041148	20041148	1605	Harris, Waine.K				not recorded							dead																		2003		182					2003		collected directly from the wild				Flower cream coloured; lip yellow. Tropical lowland rainforest, moderately open canopy. Thin organic-rich layer over deeply weathered limestone bedrock  				New Guinea					PG					Gulf Province, Darai site, Darai Plateau		440	440	440 M								-7.129260	143.611570						7.12926° E	143.61157° E	degrees minutes seconds																																													Bulbophyllum savaiense Schltr. ssp. subcubicum J.J.Sm.												Orchidaceae	Bulbophyllum		savaiense						ICBN			
574775808																										http://data.rbge.org.uk/living/19672325													2011-01-26 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19672325	19672325	73	Bacon, Andrew J.				not recorded							dead																											collected directly from the wild													MY		SW Sabah			Long Pasia		762	914	762-914 M																	degrees minutes seconds																																													Eria												Orchidaceae	Eria								ICBN			
574775800																										http://data.rbge.org.uk/living/19910698																												PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19910698	19910698	838	Chungtien, Lijiang & Dali Expedition (1990)				not recorded							dead						Stems up to 40 cm.												1990-10-05		278					1990-10-05		collected directly from the wild				Woodland.									CN		Yunnan, W	Lijiang Pref.		Yulongxue Shan, Bai Shui		2900	2900	2900 M																	degrees minutes seconds																																													Epipactis												Orchidaceae	Epipactis								ICBN			
574775770																										http://data.rbge.org.uk/living/19871034													1999-01-14 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19871034	19871034						not recorded							dead																											from a cultivated plant of known (indirect) wild origin																																							degrees minutes seconds																																													Dendrobium Section Herpethophytum												Orchidaceae	Dendrobium								ICBN			
574775647																										http://data.rbge.org.uk/living/20041228													2017-08-05 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20041228	20041228	1829	De Vogel, Ed; Vogel, Art;				not recorded							alive																											collected directly from the wild													PG					Kokoda		100	100	100 M								-8.833333	147.833333						8° 50' E	147° 50' E	degrees minutes seconds																																													Acriopsis liliifolia (J.Koenig) Ormerod												Orchidaceae	Acriopsis		liliifolia						ICBN			
