gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
574731660	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODQvMTUvNzIvUGhvdG9fNTIzYzQ2NGRhNzlkZi5qcGc=	http://data.rbge.org.uk/living/19841572	19841572	Image of living collection specimen with accession number 19841572 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574728347	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNzIvMTUvNTMvUGhvdG9fNTIzYzQwZTE1NmNiZi5qcGc=	http://data.rbge.org.uk/living/19721553	19721553	Image of living collection specimen with accession number 19721553 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574728193	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjUvMDMvNjUvUGhvdG9fNTIzYzRhNzdhZGYwZi5qcGc=	http://data.rbge.org.uk/living/19650365	19650365	Image of living collection specimen with accession number 19650365 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574728180	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODkvMjQvMjMvUGhvdG9fNTFjMWNjMjhhODhkYS5qcGc=	http://data.rbge.org.uk/living/19892423	19892423	Image of living collection specimen with accession number 19892423 by Slide Library		Slide Library		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574728180	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODkvMjQvMjMvUGhvdG9fNTFjMWNjMjhlZGI4NC5qcGc=	http://data.rbge.org.uk/living/19892423	19892423	Image of living collection specimen with accession number 19892423 by Slide Library		Slide Library		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574727156	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMjAvMDQvMTMvMzYvUGhvdG9fNGZkYjFjMzQ1NDYyMC5qcGc=	http://data.rbge.org.uk/living/20041336	20041336	Image of living collection specimen with accession number 20041336 by Natacha Frachon		Natacha Frachon		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574727156	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMjAvMDQvMTMvMzYvUGhvdG9fNGZkYjFjMzRlNWE0Mi5qcGc=	http://data.rbge.org.uk/living/20041336	20041336	Image of living collection specimen with accession number 20041336 by Natacha Frachon		Natacha Frachon		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574727156	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMjAvMDQvMTMvMzYvUGhvdG9fNGZkYjFjMzU2YjE2ZS5qcGc=	http://data.rbge.org.uk/living/20041336	20041336	Image of living collection specimen with accession number 20041336 by Natacha Frachon		Natacha Frachon		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574727156	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMjAvMDQvMTMvMzYvUGhvdG9fNGZkYjFjMzVlNGJkMy5qcGc=	http://data.rbge.org.uk/living/20041336	20041336	Image of living collection specimen with accession number 20041336 by Natacha Frachon		Natacha Frachon		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574725863	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjgvMjUvOTAvUGhvdG9fNTFjMWNmOGVjZmVlZS5qcGc=	http://data.rbge.org.uk/living/19821028	19821028	Image of living collection specimen with accession number 19821028 by Lynsey Muir		Lynsey Muir		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
